rank,score,lane,record_id,title,date,date_period,cote,original_url,exact_places,inferred_places,family_id,aerial_datasets,reasons
14,47.925,old_montreal,mtl_archives_metadata_170.json,Vue aérienne oblique du secteur de la place Jacques-Cartier,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-042.tif,old_montreal:place jacques cartier|old_montreal:place jacques cartier,old_montreal:place jacques cartier,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-6af6d553,aerial_1925_1935,exact source place signal (2)|model place signal (1)|aerial linkage|visual family available|original source link|dated record
15,47.475,old_port,mtl_archives_metadata_14175.json,Centre-ville et Port de Montréal / Rhéal Benny . - 14 mars 1975,1975,1975,VM94-B165,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B165-001.tif,old_port:port de montréal|old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
16,47.475,old_port,mtl_archives_metadata_15041.json,Le port de Montréal / Rhéal Benny . - 17 juin 1976,1976,1976,VM94-B193,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B193-001.tif,old_port:port de montréal|old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
17,46.9,old_port,mtl_archives_metadata_90.json,Port de Montréal,1930,1930s,"VM94,SY,SS1,SSS17,D167",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z168-2.jpg,old_port:port de montréal|old_port:port de montréal,old_port:port de montréal,,,"exact source place signal (2)|model place signal (1)|themes: waterfront, industrial, transit|original source link|dated record"
18,44.925,both,mtl_archives_metadata_15.json,"Hôtel de ville de Montréal (275, rue Notre-Dame Est)",1930s,1930s,"VM94,SY,SS1,SSS17,D21",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z22.jpg,old_montreal:notre dame est|old_montreal:notre dame est,old_port:clock tower|old_port:clock tower|old_montreal:notre dame est,,,exact source place signal (2)|model place signal (3)|original source link|dated record
19,44.925,old_port,mtl_archives_metadata_166.json,Vue aérienne oblique du centre-ville,1929,1929,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-028.tif,old_port:port de montréal,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-965a43aa,aerial_1925_1935,"exact source place signal (1)|themes: waterfront, industrial, construction|aerial linkage|visual family available|original source link|dated record"
20,43.925,old_port,mtl_archives_metadata_160.json,Vue aérienne oblique du secteur portuaire et ferroviaire,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-021.tif,old_port:port de montréal,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-5a754a0f,aerial_1925_1935,"exact source place signal (1)|themes: waterfront, industrial, transit|aerial linkage|visual family available|original source link|dated record"
21,43.925,old_port,mtl_archives_metadata_165.json,Vue aérienne oblique du centre-ville et du fleuve Saint-Laurent,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-027.tif,old_port:port de montréal,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-cc4d2876,aerial_1925_1935,"exact source place signal (1)|themes: waterfront, industrial, construction|aerial linkage|visual family available|original source link|dated record"
22,41.925,old_montreal,mtl_archives_metadata_14.json,"Palais de justice de Montréal (155, rue Notre-Dame Est)",1920s,1920s,"VM94,SY,SS1,SSS17,D19",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z20.jpg,old_montreal:notre dame est|old_montreal:notre dame est,old_montreal:notre dame est,vf-embedding_neighbor-mtl-archives-metadata-13-json-mtl-archives-metadata-2-json-mtl-archives-metadata-f2580db5,,exact source place signal (2)|model place signal (1)|visual family available|original source link|dated record
23,41.925,old_montreal,mtl_archives_metadata_56.json,"Brasserie Molson (1590, rue Notre-Dame Est)",1936,1936,"VM94,SY,SS1,SSS17,D110",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z111.jpg,old_montreal:notre dame est|old_montreal:notre dame est,old_montreal:notre dame est,,,exact source place signal (2)|model place signal (1)|themes: industrial|original source link|dated record
24,40.925,old_port,mtl_archives_metadata_11703.json,Vues de Montréal et du site de l'Expo 67' altitude 3000' / Louis-Philippe Meunier . - 23 mai 1965,1965,1965,VM94-B014,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B014-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, construction, transit|aerial linkage|original source link|dated record"
25,40.925,both,mtl_archives_metadata_16081.json,Dépotoirs à neige / Rhéal Benny . - 8 février 1978,1978,1978,VM94-B229,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B229-001.tif,old_port:port de montréal|old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
26,40.925,old_montreal,mtl_archives_metadata_17035.json,"Parc Olympique, Stade Olympique, Hôtel de ville, Place Jacques-Cartier et Aqua-Parc / Martel . - 23 mai 1986",1986,1986,VM94-B263,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B263-001.tif,old_montreal:place jacques cartier|old_montreal:place jacques cartier,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
27,40.925,old_port,mtl_archives_metadata_88.json,Rue Des Commissaires (devenue rue de la Commune),1936,1936,"VM94,SY,SS1,SSS17,D166",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z167-1.jpg,old_port:rue de la commune|old_port:rue de la commune,old_port:rue de la commune,vf-embedding_neighbor-mtl-archives-metadata-4-json-mtl-archives-metadata-88-json-mtl-archives-metadata-c34b7592,,exact source place signal (2)|model place signal (1)|visual family available|original source link|dated record
28,39.925,old_port,mtl_archives_metadata_11715.json,Vues diverses - altitude 2000' à 5000' / Louis-Philippe Meunier . - 26 juin 1965,1965,1965,VM94-B015,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B015-001.tif,old_port:port de montréal|old_port:rue de la commune,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
29,39.925,old_montreal,mtl_archives_metadata_12552.json,Vieux Montréal - Église Notre-Dame - Place Victoria - Place Bonaventure / Raymond Gagnon . - 9 juin 1971,1971,1971,VM94-B089,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B089-001.tif,old_montreal:vieux-montreal|old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
30,39.925,old_port,mtl_archives_metadata_14992.json,Centre-ville de Montréal / Rhéal Benny . - 9 juin 1976,1976,1976,VM94-B190,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B190-001.tif,old_port:port de montréal,,vf-embedding_neighbor-mtl-archives-metadata-13464-json-mtl-archives-metadata-14289-json-mtl-archives-m-339ddd14,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
31,39.925,old_port,mtl_archives_metadata_153.json,Vue aérienne oblique du secteur du parc La Fontaine,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-013.tif,old_port:port de montréal,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-cde6c9f8,aerial_1925_1935,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
32,39.925,both,mtl_archives_metadata_17098.json,Vues aériennes / Rhéal Benny . - 15 octobre 1987,1987,1987,VM94-B266,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B266-001.tif,old_port:port de montréal|old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
33,39.475,old_montreal,mtl_archives_metadata_13412.json,Vieux Montréal / Rhéal Benny . - 24 septembre 1974,1974,1974,VM94-B155,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B155-001.tif,old_montreal:vieux-montreal|old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (2)|aerial linkage|original source link|dated record
34,39.475,old_port,mtl_archives_metadata_140.json,Vue aérienne verticale du secteur du port de Montréal.,1925-1935,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-030.tif,old_port:port de montréal,,vf-metadata_duplicate-metadata-duplicate-vue-aerienne-verticale-du-secteur-du-port-de-montreal-1925-902b25ce,aerial_1925_1935,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
35,37.925,old_montreal,mtl_archives_metadata_22.json,Refuge Meurling (435 rue Champ-de-Mars),1933,1933,"VM94,SY,SS1,SSS17,D34",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z35.jpg,old_montreal:champ de mars|old_montreal:champ de mars,old_montreal:champ de mars,,,exact source place signal (2)|model place signal (1)|original source link|dated record
36,36.475,old_port,mtl_archives_metadata_12947.json,Montréal et Port vue du sud-ouest vers l'est / Canadian Airways Ltd . - vers 1950,1950,1950s,VM94-B111,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B111-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
37,35.925,old_port,mtl_archives_metadata_11818.json,Vues diverses / Maurice Macot . - 29 octobre 1965,1965,1965,VM94-B018,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B018-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
38,35.925,old_montreal,mtl_archives_metadata_13391.json,Construction d'un tunnel pour le métro angle Gosford et Craig / Rhéal Benny . - 24 septembre 1974,1974,1974,VM94-B147,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B147-001.tif,old_montreal:champ de mars,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: construction, transit|aerial linkage|original source link|dated record"
39,35.925,old_port,mtl_archives_metadata_14422.json,Centre-ville / Rhéal Benny . - 10 juin 1975,1975,1975,VM94-B175,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B175-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
40,35.475,old_port,mtl_archives_metadata_11979.json,Centre-ville du sud au nord / Office de tourisme . - 1966,1966,1966,VM94-B035,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B035-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (1)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
41,34.9,old_montreal,mtl_archives_metadata_11.json,Square d'Youville,1920s,1920s,"VM94,SY,SS1,SSS17,D14",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z15-1.jpg,old_montreal:square d youville|old_montreal:square d youville,old_montreal:vieux-montreal,,,exact source place signal (2)|model place signal (1)|original source link|dated record
42,32.925,old_montreal,mtl_archives_metadata_12751.json,Canal Lachine - Urbanisme A. Mitchell / Rhéal Benny . - 27 octobre 1972,1972,1972,VM94-B103,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B103-001.tif,old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (1)|themes: waterfront|aerial linkage|original source link|dated record
43,31.925,old_montreal,mtl_archives_metadata_12154.json,Terre des Hommes - Lac des Régates et Parc Notre-Dame / Louis-Philippe Meunier . - 31 juillet 1969,1969,1969,VM94-B062,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B062-001.tif,,old_montreal:vieux-montreal,,aerial_obliques_1960_1992,"model place signal (1)|themes: waterfront, industrial, transit|aerial linkage|original source link|dated record"
44,31.925,thematic,mtl_archives_metadata_13326.json,Pont de l'autoroute 13 (Cavendish) / Rhéal Benny . - 16 septembre 1974,1974,1974,VM94-B130,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B130-001.tif,,,,aerial_obliques_1960_1992,"themes: waterfront, industrial, construction, transit|aerial linkage|original source link|dated record"
45,31.925,old_montreal,mtl_archives_metadata_13423.json,Parc Olympique - Travaux publics C. Phaneuf / Rhéal Benny . - 25 septembre 1974,1974,1974,VM94-B157,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B157-001.tif,,old_montreal:vieux-montreal,,aerial_obliques_1960_1992,"model place signal (1)|themes: waterfront, industrial, construction|aerial linkage|original source link|dated record"
46,31.925,old_montreal,mtl_archives_metadata_169.json,Vue aérienne oblique du secteur de la basilique Notre-Dame de Montréal,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-035.tif,old_montreal:rue saint-paul,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-f64bae86,aerial_1925_1935,exact source place signal (1)|aerial linkage|visual family available|original source link|dated record
47,31.475,old_montreal,mtl_archives_metadata_13012.json,Parc Olympique - Travaux publics M. Dagenais / Vincent Massaro . - 14 mai 1974,1974,1974,VM94-B113,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B113-001.tif,,old_montreal:vieux-montreal,vf-metadata_duplicate-metadata-duplicate-parc-olympique-travaux-publics-m-dagenais-vincent-massaro-14--6448d56e,aerial_obliques_1960_1992,"model place signal (1)|themes: industrial, construction|aerial linkage|visual family available|original source link|dated record"
48,30.675,old_port,mtl_archives_metadata_12623.json,,,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B095-002n&b.tif,,old_port:clock tower|old_port:clock tower,,aerial_obliques_1960_1992,"model place signal (2)|themes: waterfront, industrial, transit|aerial linkage|original source link"
49,30.475,old_montreal,mtl_archives_metadata_13024.json,Parc Olympique - Travaux publics M. Dagenais / Vincent Massaro . - 14 mai 1974,1974,1974,VM94-B113a,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B113A-001.tif,,old_montreal:vieux-montreal,vf-metadata_duplicate-metadata-duplicate-parc-olympique-travaux-publics-m-dagenais-vincent-massaro-14--6448d56e,aerial_obliques_1960_1992,"model place signal (1)|themes: waterfront, construction|aerial linkage|visual family available|original source link|dated record"
50,30.375,thematic,mtl_archives_metadata_10689.json,"VM97,S3,D13,P102",1973,1973,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1973/VM97-13_P102.TIF,,,vf-sequence_run-sequence-s3d13-100-278-1265491a,aerial_1973,"themes: waterfront, industrial, transit|aerial linkage|visual family available|original source link|dated record"
51,30.375,thematic,mtl_archives_metadata_1100.json,VM97-3_7P15-30.jpg,1947-1949,1947,,http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P15-30.jpg,,,vf-exact_asset-exact-asset-http-archivesdemontreal-com-greffe-vues-aeriennes-archives-jpeg-vm97-efa6ddc5,aerial_1947_1949,"themes: waterfront, industrial, transit|aerial linkage|visual family available|original source link|dated record"
52,28.925,thematic,mtl_archives_metadata_11493.json,Vues diverses / inconnu . - 10 mai 1962,1962,1962,VM94-B009,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B009-001.tif,,,vf-embedding_neighbor-mtl-archives-metadata-8291-json-mtl-archives-metadata-10817-json-mtl-archives-me-91405bd1,aerial_obliques_1960_1992,"themes: industrial, transit|aerial linkage|visual family available|original source link|dated record"
53,28.925,old_port,mtl_archives_metadata_11541.json,Vues diverses / Yvon Bellemare . - 12 avril 1963,1963,1963,VM94-B010,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B010-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
54,28.925,old_port,mtl_archives_metadata_12196.json,Vues diverses . - 15 octobre 1959,1959,1959,VM94-B071,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B071-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
55,28.925,old_port,mtl_archives_metadata_12364.json,Vues diverses et hélicoptère - Sergent Lévis / Louis-Philippe Meunier . - 10 juillet 1970,1970,1970s,VM94-B078,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B078-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
56,28.925,old_montreal,mtl_archives_metadata_16862.json,Centre-ville et quartiers du sud-ouest / Martel . - 12 juillet 1985,1985,1985,VM94-B260,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B260-001.tif,old_montreal:vieux-montreal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
57,28.925,old_port,mtl_archives_metadata_17325.json,Vues générales (Centre-ville et Port) / R. Martel . - 18 août 1988,1988,1988,VM94-B269,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B269-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
58,28.925,old_port,mtl_archives_metadata_17427.json,"Vues aériennes de Montréal : Carrière Miron, circuit Gilles-Villeneuve et Centre bancaire / R. Martel . - 12 juin 1989",1989,1989,VM94-B272,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B272-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
59,28.925,old_port,mtl_archives_metadata_18309.json,Photographie aérienne pour HDU (Habitation et développement urbain) / Denis Labine . - 2 décembre 1991,1991,1991,VM94-B280,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B280-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
60,27.925,old_port,mtl_archives_metadata_11383.json,Vues diverses / Yvon Bellemare . - 15 mars 1966,1966,1966,VM94-B001,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
61,27.925,old_port,mtl_archives_metadata_11593.json,Vues diverses / Benny & Marcel Houle . - 10 septembre 1963,1963,1963,VM94-B011,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B011-001.tif,old_port:quai de l'horloge,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
62,27.925,thematic,mtl_archives_metadata_11753.json,Vues diverses / Maurice Macot . - 6 octobre 1965,1965,1965,VM94-B016,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B016-001.tif,,,vf-metadata_duplicate-metadata-duplicate-vues-diverses-maurice-macot-6-octobre-1965-1965-81942bae,aerial_obliques_1960_1992,"themes: waterfront, transit|aerial linkage|visual family available|original source link|dated record"
63,27.925,old_port,mtl_archives_metadata_11898.json,Vues diverses / Maurice Macot . - 3 mars 1966,1966,1966,VM94-B020,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B020-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
64,27.925,old_port,mtl_archives_metadata_11964.json,Montréal- Expo-Rive-sud / Henri Rémillard . - 16 septembre 1966,1966,1966,VM94-B033,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B033-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
65,27.925,old_montreal,mtl_archives_metadata_12179.json,Terrain du C.P. à l'ouest du Parc Maisonneuve / Louis-Philippe Meunier . - 31 juillet 1969,1969,1969,VM94-B066,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B066-001.tif,,old_montreal:vieux-montreal,,aerial_obliques_1960_1992,"model place signal (1)|themes: waterfront, transit|aerial linkage|original source link|dated record"
66,27.925,old_port,mtl_archives_metadata_12459.json,"Iles Rochon, Tanguay et Gagnier - Immeubles M. Bernatchez / Raymond Gagnon . - 10 mai 1971",1971,1971,VM94-B084,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B084-001.tif,old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (1)|aerial linkage|original source link|dated record
67,27.925,old_montreal,mtl_archives_metadata_13069.json,Vélodrome du Parc Olympique en construction - Travaux publics M. Phaneuf / Rhéal Benny . - 6 juin 1974,1974,1974,VM94-B114a,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B114A-001.tif,,old_montreal:vieux-montreal,vf-metadata_duplicate-metadata-duplicate-velodrome-du-parc-olympique-en-construction-travaux-publics-m-355ec604,aerial_obliques_1960_1992,model place signal (1)|themes: construction|aerial linkage|visual family available|original source link|dated record
